Nome Modello,seed,Pre fine tune,track_name,track_length_km,episodes,completion_rate,off_track_rate,stalled_rate,best_lap_time,best_time_per_km,mean_progress_ratio,mean_reward,mean_speed_kmh,mean_abs_steering_delta
ppo_f1_256_256_128_64_32_multitrack,44,True,Silverstone,5.8868046875,1,1.0,0.0,0.0,101.0,17.15701562419129,0.9953042324531427,18238.837775775297,207.73233263915628,0.019027155390617872
ppo_f1_256_256_128_64_32_multitrack,44,True,Catalunya,4.64984375,1,0.0,1.0,0.0,,,0.8978951745690379,11616.903531864235,186.72871289824766,0.025878704053133802
ppo_f1_256_256_128_64_32_multitrack,44,True,Spa,7.00005029296875,1,0.0,1.0,0.0,,,0.9667108279007203,19517.87594303142,212.84955667583515,0.013516010789889989
ppo_f1_512_512_256_128_32_16_multitrack,44,True,Monza,5.7902021484375,1,1.0,0.0,0.0,91.2,15.75074542511621,0.9952037107404801,18182.57819516417,226.3412488914875,0.024068404597704086
ppo_f1_512_512_256_128_32_16_multitrack,44,True,Melbourne,5.29873486328125,1,1.0,0.0,0.0,95.4,18.00429771662955,0.9958527651933424,16566.078683504093,197.37652500411312,0.03170547352037715
ppo_f1_512_512_256_128_32_16_multitrack,44,True,Silverstone,5.8868046875,1,1.0,0.0,0.0,99.0,16.817272740543935,0.995023131712742,18276.929477099722,210.51490940735616,0.025739544663916935
ppo_f1_512_512_256_128_32_16_multitrack,44,True,Catalunya,4.64984375,1,0.0,1.0,0.0,,,0.8985875071406969,11565.518851527646,188.55051080357032,0.031268727449825354
ppo_f1_512_512_256_128_32_16_multitrack,44,True,Spa,7.00005029296875,1,0.0,0.0,1.0,,,0.0559982287376144,1041.132831326531,85.00142903101013,0.03361091161348734




ppo_f1_256_256_128_64_32_multitrack_finetuned_Monza_lr_1e-04,42,False,Monza,5.7902021484375,1,0.0,1.0,0.0,,,,0.1607537681937446,2290.9216100398403,205.45336136613162,0.020963269874362127
ppo_f1_256_256_128_64_32_multitrack_finetuned_Monza_lr_1e-04,42,False,Melbourne,5.29873486328125,1,1.0,0.0,0.0,93.4,93.4,17.626849127182393,0.9954328352074755,16604.292634415757,202.54204944170547,0.030128329688168632
ppo_f1_256_256_128_64_32_multitrack_finetuned_Monza_lr_1e-04,42,False,Silverstone,5.8868046875,1,1.0,0.0,0.0,97.7,97.7,16.596439866173156,0.9950970357433402,17902.993592724793,215.9873787856914,0.022410641473926747
ppo_f1_256_256_128_64_32_multitrack_finetuned_Monza_lr_1e-04,42,False,Catalunya,4.64984375,1,1.0,0.0,0.0,84.4,84.4,18.151147552001078,0.996163135522027,14603.912130121626,196.87481182754073,0.029464179847468908
ppo_f1_256_256_128_64_32_multitrack_finetuned_Monza_lr_1e-04,42,False,Spa,7.00005029296875,1,1.0,0.0,0.0,112.9,16.128455550298433,0.995520330734231,21082.039985897973,222.76086355096294,0.01899645576109999
ppo_f1_256_256_128_64_32_multitrack_finetuned_Monza_lr_1e-04,43,False,Monza,5.7902021484375,1,1.0,0.0,0.0,88.80000000000001,15.336252124455257,0.9950874212178541,18195.929591643544,232.97450126903726,0.017051417523206356
ppo_f1_256_256_128_64_32_multitrack_finetuned_Monza_lr_1e-04,43,False,Melbourne,5.29873486328125,1,1.0,0.0,0.0,93.80000000000001,17.702338845071825,0.9965837032332582,16601.667242465206,201.96172069112816,0.024763468196238283
ppo_f1_256_256_128_64_32_multitrack_finetuned_Monza_lr_1e-04,43,False,Silverstone,5.8868046875,1,1.0,0.0,0.0,98.2,16.681375587084993,0.9952324020485435,18282.165353485452,213.93528605383062,0.018590974972380398
ppo_f1_256_256_128_64_32_multitrack_finetuned_Monza_lr_1e-04,43,False,Catalunya,4.64984375,1,1.0,0.0,0.0,84.9,18.258678046977387,0.9960059351792735,14704.546053591652,195.34467700981887,0.02301188228812038
ppo_f1_256_256_128_64_32_multitrack_finetuned_Monza_lr_1e-04,43,False,Spa,7.00005029296875,1,0.0,1.0,0.0,,,0.9664429726823252,19506.953567590128,223.24131864217168,0.01708809830453418
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_fixed_start_lr_1e-04_seed_44,44,False,Monza,5.7902021484375,1,1.0,0.0,0.0,85.0,14.679971065075414,0.9960669011346788,18192.414445420654,243.30871891236632,0.01780584177988417
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_fixed_start_lr_1e-04_seed_44,44,False,Melbourne,5.29873486328125,1,1.0,0.0,0.0,92.80000000000001,17.513614550348244,0.9966692189293048,16196.809656966092,203.9012853329451,0.02714738086395865
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_fixed_start_lr_1e-04_seed_44,44,False,Silverstone,5.8868046875,1,1.0,0.0,0.0,97.30000000000001,16.528491289443686,0.9958637796926654,18062.158620743234,215.50960887282457,0.021673869372241177
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_fixed_start_lr_1e-04_seed_44,44,False,Catalunya,4.64984375,1,0.0,1.0,0.0,,,0.7480562077858799,9485.088971706507,207.0653861945904,0.02181792459049762
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_fixed_start_lr_1e-04_seed_44,44,False,Spa,7.00005029296875,1,0.0,1.0,0.0,,,0.05500236448496499,620.5141575055181,133.9075870669229,0.02752029796441396



ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_42,42,False,Monza,5.7902021484375,1,1.0,0.0,0.0,86.60000000000001,14.956299932182716,0.9957990726184639,18177.869262813692,238.9093120669199,0.016604819218896966
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_42,42,False,Melbourne,5.29873486328125,1,1.0,0.0,0.0,93.7,17.683466415599465,0.9955284874623208,16531.179532518883,202.4796117505218,0.03009156015450125
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_42,42,False,Silverstone,5.8868046875,1,1.0,0.0,0.0,98.0,16.647401298720258,0.9950579686295223,17981.02887376309,215.41403220599233,0.022346547152847052
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_42,42,False,Catalunya,4.64984375,1,1.0,0.0,0.0,84.9,18.258678046977387,0.9950957063409389,14605.904185384072,195.55725708136947,0.029596357026057334
